Titre,SousTitre,Saison,Auteur,DateEdition,Description,Image,Document,TypeLivre
Le Chant du Vent,Voyage intérieur,Printemps,Jean Rakoto,2018-03-15,"Un roman poétique sur la quête de soi et la nature.","fichierimage/chantduvent.jpg","fichierpdf/chantduvent.pdf",Roman
Contes de Madagascar,,,"Collectif Malgache",2020-06-10,"Recueil de contes traditionnels malgaches riches en sagesse et morale.","fichierimage/contesmada.jpg","fichierpdf/contesmada.pdf",Conte
Ombres du Temps,,,"Marie Razafindrakoto",2019-11-22,"Un roman historique sur la mémoire et le temps à Madagascar.","fichierimage/ombresdutemps.jpg","fichierpdf/ombresdutemps.pdf",Roman
Atomic Habits,,,"James Clear",2018-10-16,"Comment construire de bonnes habitudes et transformer sa vie.","fichierimage/Commonsense_Direct_n_Digital_Marketing.png","fichierpdf/Commonsense_Direct_n_Digital_Marketing-Drayton_Bird.pdf",Développement Personnel
Modern Management and Leadership,,,"Jon Bright",2022-01-05,"Les meilleures pratiques de management et leadership moderne.","fichierimage/Modern_Management_and_Leadership.png","fichierpdf/Modern_Management_and_Leadership-Jon_Bright.pdf",Management
Grammatik Aktiv A1-B1,,,"Collectif",2021-09-15,"Méthode complète d'allemand pour niveaux A1 à B1.","fichierimage/GrammatikAktivA1-B1.png","fichierpdf/GrammatikAktivA1-B1.pdf",Manuel Scolaire
Code of Practice for Packing of Cargo Transport Units,,,"International Labour Office",2018-04-20,"Guide international sur l'emballage sécurisé des unités de transport.","fichierimage/IMOILOUNECE_Code_of_Practice_for_Packing_of_Cargo_Transport_Units_International_Labour_Office.png","fichierpdf/IMOILOUNECE_Code_of_Practice_for_Packing_of_Cargo_Transport_Units-International_Labour_Office.pdf",Technique
Harry Potter à l'école des sorciers,,"Tome 1","J.K. Rowling",1997-06-26,"Le célèbre sorcier commence sa formation à Poudlard.","fichierimage/image1.jpg","fichierpdf/pdf1.pdf",Fiction
Le Seigneur des Anneaux,,"Tome 1","J.R.R. Tolkien",1954-07-29,"Le début de la quête de l'Anneau.","fichierimage/image2.jpg","fichierpdf/pdf2.pdf",Fiction
1984,,,"George Orwell",1949-06-08,"Roman dystopique célèbre sur la surveillance et la liberté.","fichierimage/image3.jpg","fichierpdf/pdf3.pdf",Roman
Le Petit Prince,,,"Antoine de Saint-Exupéry",1943-04-06,"Classique de la littérature jeunesse.","fichierimage/chantduvent.jpg","fichierpdf/chantduvent.pdf",Roman
Dune,,,"Frank Herbert",1965-08-01,"Chef-d'œuvre de science-fiction.","fichierimage/contesmada.jpg","fichierpdf/contesmada.pdf",Science-Fiction